"AptName","Target","TargetFullName","EntrezGeneSymbol","UniProt"
"seq.4159.130","Factor H","Complement factor H","CFH","P08603"
"seq.4160.49","MMP-2","72 kDa type IV collagenase","MMP2","P08253"
"seq.4162.54","Transferrin","Serotransferrin","TF","P02787"
"seq.4163.5","Histone H2A.z","Histone H2A.z","H2AZ1","P0C0S5"
"seq.4179.57","14-3-3 protein gamma","14-3-3 protein gamma","YWHAG","P61981"
"seq.4184.43","4EBP2","Eukaryotic translation initiation factor 4E-binding protein 2","EIF4EBP2","Q13542"
"seq.4187.49","6-Phosphogluconate dehydrogenase","6-phosphogluconate dehydrogenase; decarboxylating","PGD","P52209"
"seq.4188.1","Aflatoxin B1 aldehyde reductase","Aflatoxin B1 aldehyde reductase member 2","AKR7A2","O43488"
"seq.4192.10","AK1A1","Alcohol dehydrogenase [NADP(+)]","AKR1A1","P14550"
"seq.4194.26","AN32B","Acidic leucine-rich nuclear phosphoprotein 32 family member B","ANP32B","Q92688"
"seq.4203.50","Cofilin-1","Cofilin-1","CFL1","P23528"
"seq.4209.60","DRG-1","Vacuolar protein sorting-associated protein VTA1 homolog","VTA1","Q9NP79"
"seq.4212.5","EP15R","Epidermal growth factor receptor substrate 15-like 1","EPS15L1","Q9UBC2"
"seq.4217.49","ERAB","3-hydroxyacyl-CoA dehydrogenase type-2","HSD17B10","Q99714"
"seq.4220.39","FER","Tyrosine-protein kinase Fer","FER","P16591"
"seq.4230.1","IF4G2","Eukaryotic translation initiation factor 4 gamma 2","EIF4G2","P78344"
"seq.4232.19","IGF-I sR","Insulin-like growth factor 1 receptor","IGF1R","P08069"
"seq.4234.8","IL-1 R4","Interleukin-1 receptor-like 1","IL1RL1","Q01638"
"seq.4237.70","LCMT1","Leucine carboxyl methyltransferase 1","LCMT1","Q9UIC8"
"seq.4238.4","LIN7B","Protein lin-7 homolog B","LIN7B","Q9HAP6"
"seq.4240.31","M2-PK","Pyruvate kinase PKM","PKM","P14618"
"seq.4245.80","MDM2","E3 ubiquitin-protein ligase Mdm2","MDM2","Q00987"
"seq.4246.40","NCAM-L1","Neural cell adhesion molecule L1","L1CAM","P32004"
"seq.4250.23","NSF1C","NSFL1 cofactor p47","NSFL1C","Q9UNZ2"
"seq.4254.6","NUDC3","NudC domain-containing protein 3","NUDCD3","Q8IVD9"
"seq.4258.15","PA2G4","Proliferation-associated protein 2G4","PA2G4","Q9UQ80"
"seq.4261.55","paraoxonase 1","Serum paraoxonase/arylesterase 1","PON1","P27169"
"seq.4267.81","PESC","Pescadillo homolog","PES1","O00541"
"seq.4271.75","PFD5","Prefoldin subunit 5","PFDN5","Q99471"
"seq.4272.46","PHI","Glucose-6-phosphate isomerase","GPI","P06744"
"seq.4276.10","prostatic binding protein","Phosphatidylethanolamine-binding protein 1","PEBP1","P30086"
"seq.4278.14","Protein disulfide-isomerase","Protein disulfide-isomerase","P4HB","P07237"
"seq.4280.47","PSA2","Proteasome subunit alpha type-2","PSMA2","P25787"
"seq.4282.3","RAN","GTP-binding nuclear protein Ran","RAN","P62826"
"seq.4284.18","RBM39","RNA-binding protein 39","RBM39","Q14498"
"seq.4292.5","SNAA","Alpha-soluble NSF attachment protein","NAPA","P54920"
"seq.4294.16","Sphingosine kinase 1","Sphingosine kinase 1","SPHK1","Q9NYA1"
"seq.4297.62","Spondin-1","Spondin-1","SPON1","Q9HCB6"
"seq.4301.58","Thymidine kinase","Thymidine kinase; cytosolic","TK1","P04183"
"seq.4304.18","transcription factor MLR1; isoform CRA_b","Ligand-dependent nuclear receptor corepressor-like protein","LCORL","Q8N3X6"
"seq.4306.4","Transketolase","Transketolase","TKT","P29401"
"seq.4309.59","Triosephosphate isomerase","Triosephosphate isomerase","TPI1","P60174"
"seq.4314.12","XTP3A","dCTP pyrophosphatase 1","DCTPP1","Q9H773"
"seq.4318.12","PTP-1C","Tyrosine-protein phosphatase non-receptor type 6","PTPN6","P29350"
"seq.4322.28","AMNLS","Protein amnionless","AMN","Q9BXJ7"
"seq.4324.33","CYTT","Cystatin-SA","CST2","P09228"
"seq.4328.2","BOC","Brother of CDO","BOC","Q9BWV1"
"seq.4330.4","PSA","Prostate-specific antigen","KLK3","P07288"
"seq.4332.6","CLC1B","C-type lectin domain family 1 member B","CLEC1B","Q9P126"
"seq.4336.2","SAA","Serum amyloid A-1 protein","SAA1","P0DJI8"
"seq.4337.49","CRP","C-reactive protein","CRP","P02741"
"seq.4342.10","sICAM-1","Intercellular adhesion molecule 1","ICAM1","P05362"
"seq.4355.13","DAPK2","Death-associated protein kinase 2","DAPK2","Q9UIK4"
"seq.4359.87","DYRK3","Dual specificity tyrosine-phosphorylation-regulated kinase 3","DYRK3","O43781"
"seq.4374.45","MIC-1","Growth/differentiation factor 15","GDF15","Q99988"
"seq.4383.97","Activin AB","Inhibin beta A chain:Inhibin beta B chain heterodimer","INHBA|INHBB","P08476|P09529"
"seq.4392.54","FGF-12","Fibroblast growth factor 12","FGF12","P61328"
"seq.4393.3","FGF-16","Fibroblast growth factor 16","FGF16","O43320"
"seq.4394.71","FGF-8A","Fibroblast growth factor 8 isoform A","FGF8","P55075"
"seq.4396.54","IFN-lambda 1","Interferon lambda-1","IFNL1","Q8IU54"
"seq.4397.26","IFN-lambda 2","Interferon lambda-2","IFNL2","Q8IZJ0"
"seq.4407.10","MSP","Hepatocyte growth factor-like protein","MST1","P26927"
"seq.4413.3","SLPI","Antileukoproteinase","SLPI","P03973"
"seq.4414.69","SP-D","Pulmonary surfactant-associated protein D","SFTPD","P35247"
"seq.4420.7","ADAM12","Disintegrin and metalloproteinase domain-containing protein 12","ADAM12","O43184"
"seq.4428.1","CHST2","Carbohydrate sulfotransferase 2","CHST2","Q9Y4C5"
"seq.4429.51","CHST6","Carbohydrate sulfotransferase 6","CHST6","Q9GZX3"
"seq.4430.44","Collectin Kidney 1","Collectin-11","COLEC11","Q9BWP8"
"seq.4435.66","ENPP7","Ectonucleotide pyrophosphatase/phosphodiesterase family member 7","ENPP7","Q6UWV6"
"seq.4436.1","ENTP3","Ectonucleoside triphosphate diphosphohydrolase 3","ENTPD3","O75355"
"seq.4437.56","ENTP5","Ectonucleoside triphosphate diphosphohydrolase 5","ENTPD5","O75356"
"seq.4440.15","FCRL3","Fc receptor-like protein 3","FCRL3","Q96P31"
"seq.4450.26","hnRNP A/B","Heterogeneous nuclear ribonucleoprotein A/B","HNRNPAB","Q99729"
"seq.4452.9","LRRT1","Leucine-rich repeat transmembrane neuronal protein 1","LRRTM1","Q86UE6"
"seq.4453.83","LRRT3","Leucine-rich repeat transmembrane neuronal protein 3","LRRTM3","Q86VH5"
"seq.4455.89","MFGM","Lactadherin","MFGE8","Q08431"
"seq.4459.68","PCSK7","Proprotein convertase subtilisin/kexin type 7","PCSK7","Q16549"
"seq.4460.8","PDPK1","3-phosphoinositide-dependent protein kinase 1","PDPK1","O15530"
"seq.4464.10","Sialoadhesin","Sialoadhesin","SIGLEC1","Q9BZZ2"
"seq.4467.49","SPARCL1","SPARC-like protein 1","SPARCL1","Q14515"
"seq.4468.21","SPHK2","Sphingosine kinase 2","SPHK2","Q9NRA0"
"seq.4469.78","ST4S6","Carbohydrate sulfotransferase 15","CHST15","Q7LFX5"
"seq.4471.50","TGM3","Protein-glutamine gamma-glutamyltransferase E","TGM3","Q08188"
"seq.4474.19","Ubiquitin","Ubiquitin","RPS27A","P62979"
"seq.4479.14","C1-Esterase Inhibitor","Plasma protease C1 inhibitor","SERPING1","P05155"
"seq.4480.59","C3b","Complement C3b","C3","P01024"
"seq.4481.34","C4","Complement C4","C4A|C4B","P0C0L4|P0C0L5"
"seq.4482.66","C5b; 6 Complex","Complement C5b-C6 complex","C5|C6","P01031|P13671"
"seq.4487.1","FGF7","Fibroblast growth factor 7","FGF7","P21781"
"seq.4491.4","IL-5 Ra","Interleukin-5 receptor subunit alpha","IL5RA","Q01344"
"seq.4493.92","IL-11","Interleukin-11","IL11","P20809"
"seq.4496.60","MMP-12","Macrophage metalloelastase","MMP12","P39900"
"seq.4498.62","NCAM-120","Neural cell adhesion molecule 1; 120 kDa isoform","NCAM1","P13591"
"seq.4499.21","PDGF-AA","Platelet-derived growth factor subunit A","PDGFA","P04085"
"seq.4500.50","SCGF-alpha","Stem cell growth factor-alpha","CLEC11A","Q9Y240"
"seq.4533.76","ATS15","A disintegrin and metalloproteinase with thrombospondin motifs 15","ADAMTS15","Q8TE58"
"seq.4534.10","BSSP4","Brain-specific serine protease 4","PRSS22","Q9GZN4"
"seq.4535.50","BST1","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2","BST1","Q10588"
"seq.4540.11","CBX5","Chromobox protein homolog 5","CBX5","P45973"
"seq.4541.49","CDON","Cell adhesion molecule-related/down-regulated by oncogenes","CDON","Q4KMG0"
"seq.4542.24","Clusterin","Clusterin","CLU","P10909"
"seq.4543.65","CONA1","Collagen alpha-1(XXIII) chain","COL23A1","Q86Y22"
"seq.4544.4","CTAP-III","Connective tissue-activating peptide III","PPBP","P02775"
"seq.4545.53","DnaJ homolog","Mitochondrial import inner membrane translocase subunit TIM14","DNAJC19","Q96DA6"
"seq.4546.27","EMR2","Adhesion G protein-coupled receptor E2","ADGRE2","Q9UHX3"
"seq.4547.59","FLRT1","Leucine-rich repeat transmembrane protein FLRT1","FLRT1","Q9NZU1"
"seq.4548.4","Fucosyltransferase 3","Galactoside 3(4)-L-fucosyltransferase","FUT3","P21217"
"seq.4549.78","FUT5","Alpha-(1;3)-fucosyltransferase 5","FUT5","Q11128"
"seq.4551.72","GP114","Adhesion G-protein coupled receptor G5","ADGRG5","Q8IZF4"
"seq.4553.65","HDGR2","Hepatoma-derived growth factor-related protein 2","HDGFL2","Q7Z4V5"
"seq.4557.61","KIRR3","Kin of IRRE-like protein 3","KIRREL3","Q8IZU9"
"seq.4559.64","KYNU","Kynureninase","KYNU","Q16719"
"seq.4563.61","PLCG1","1-phosphatidylinositol 4;5-bisphosphate phosphodiesterase gamma-1","PLCG1","P19174"
"seq.4564.2","PLXC1","Plexin-C1","PLXNC1","O60486"
"seq.4566.24","RSPO2","R-spondin-2","RSPO2","Q6UXX9"
"seq.4567.82","SH21A","SH2 domain-containing protein 1A","SH2D1A","O60880"
"seq.4568.17","SLIK5","SLIT and NTRK-like protein 5","SLITRK5","O94991"
"seq.4569.52","SORC2","VPS10 domain-containing receptor SorCS2","SORCS2","Q96PQ0"
"seq.4588.1","PH","Pancreatic hormone","PPY","P01298"
"seq.4594.22","PACAP-38","Pituitary adenylate cyclase-activating polypeptide 38","ADCYAP1","P18509"
"seq.4673.13","IL-6","Interleukin-6","IL6","P05231"
"seq.4693.72","3HIDH","3-hydroxyisobutyrate dehydrogenase; mitochondrial","HIBADH","P31937"
"seq.4696.2","FABP","Fatty acid-binding protein; heart","FABP3","P05413"
"seq.4697.59","GM-CSF","Granulocyte-macrophage colony-stimulating factor","CSF2","P04141"
"seq.4703.87","TNF-b","Lymphotoxin-alpha","LTA","P01374"
"seq.4706.17","41","Protein 4.1","EPB41","P11171"
"seq.4707.50","14-3-3 eta","14-3-3 protein eta","YWHAH","Q04917"
"seq.4708.3","17-beta-HSD 1","Estradiol 17-beta-dehydrogenase 1","HSD17B1","P14061"
"seq.4712.28","Apo D","Apolipoprotein D","APOD","P05090"
"seq.4717.55","IL-3","Interleukin-3","IL3","P08700"
"seq.4718.5","PPIB","Peptidyl-prolyl cis-trans isomerase B","PPIB","P23284"
"seq.4719.58","Protein disulfide isomerase A3","Protein disulfide-isomerase A3","PDIA3","P30101"
"seq.4721.54","TFF3","Trefoil factor 3","TFF3","Q07654"
"seq.4763.31","Afamin","Afamin","AFM","P43652"
"seq.4769.10","Olfactomedin-4","Olfactomedin-4","OLFM4","Q6UX06"
"seq.4771.10","ASM3A","Acid sphingomyelinase-like phosphodiesterase 3a","SMPDL3A","Q92484"
"seq.4775.34","Gelsolin","Gelsolin","GSN","P06396"
"seq.4785.30","CBG","Corticosteroid-binding globulin","SERPINA6","P08185"
"seq.4801.13","PERL","Lactoperoxidase","LPO","P22079"
"seq.4807.13","CO8A1","Collagen alpha-1(VIII) chain","COL8A1","P27658"
"seq.4811.33","ITI heavy chain H4","Inter-alpha-trypsin inhibitor heavy chain H4","ITIH4","Q14624"
"seq.4815.25","TXD12","Thioredoxin domain-containing protein 12","TXNDC12","O95881"
"seq.4829.43","STRATIFIN","14-3-3 protein sigma","SFN","P31947"
"seq.4831.4","sL-Selectin","L-Selectin","SELL","P14151"
"seq.4832.75","TRAIL R1","Tumor necrosis factor receptor superfamily member 10A","TNFRSF10A","O00220"
"seq.4834.61","Epithelial cell kinase","Ephrin type-A receptor 2","EPHA2","P29317"
"seq.4840.73","G-CSF","Granulocyte colony-stimulating factor","CSF3","P09919"
"seq.4842.62","Glypican 3","Glypican-3","GPC3","P51654"
"seq.4851.25","IL-1a","Interleukin-1 alpha","IL1A","P01583"
"seq.4859.6","BMPR1A","Bone morphogenetic protein receptor type-1A","BMPR1A","P36894"
"seq.4862.63","BMP RII","Bone morphogenetic protein receptor type-2","BMPR2","Q13873"
"seq.4866.59","TrkB","BDNF/NT-3 growth factors receptor","NTRK2","Q16620"
"seq.4874.3","Angiogenin","Angiogenin","ANG","P03950"
"seq.4876.32","Coagulation Factor IX","Coagulation factor IX","F9","P00740"
"seq.4878.3","Coagulation Factor X","Coagulation Factor X","F10","P00742"
"seq.4880.21","GDF2","Growth/differentiation factor 2","GDF2","Q9UK05"
"seq.4883.56","Insulin","Insulin","INS","P01308"
"seq.4886.3","MCP-3","C-C motif chemokine 7","CCL7","P80098"
"seq.4889.82","WNT7A","Protein Wnt-7a","WNT7A","O00755"
"seq.4890.10","ACTH","Corticotropin","POMC","P01189"
"seq.4891.50","Glucagon","Glucagon","GCG","P01275"
"seq.4900.8","C3a","C3a anaphylatoxin","C3","P01024"
"seq.4903.72","Calcineurin","Calcineurin","PPP3CA|PPP3R1","Q08209|P63098"
"seq.4904.7","Caspase-2","Caspase-2","CASP2","P42575"
"seq.4905.63","Coactosin-like protein","Coactosin-like protein","COTL1","Q14019"
"seq.4906.35","Coagulation Factor V","Coagulation Factor V","F5","P12259"
"seq.4907.56","D-dimer","D-dimer","FGA|FGB|FGG","P02671|P02675|P02679"
"seq.4908.6","Endoglin","Endoglin","ENG","P17813"
"seq.4909.68","Galectin-8","Galectin-8","LGALS8","O00214"
"seq.4910.21","GIB","Phospholipase A2","PLA2G1B","P04054"
"seq.4911.49","Glutathione S-transferase Pi","Glutathione S-transferase P","GSTP1","P09211"
"seq.4912.17","GOT1","Aspartate aminotransferase; cytoplasmic","GOT1","P17174"
"seq.4913.78","HCC-4","C-C motif chemokine 16","CCL16","O15467"
"seq.4914.10","HCG","Human Chorionic Gonadotropin","CGA|CGB3|CGB7","P01215|P0DN86|P0DN87"
"seq.4915.64","Hemoglobin","Hemoglobin","HBA1|HBB","P69905|P68871"
"seq.4916.2","IgD","Immunoglobulin D","IGL|IGHD|IGK","P01880"
"seq.4917.62","Integrin aVb5","Integrin alpha-V: beta-5 complex","ITGAV|ITGB5","P06756|P18084"
"seq.4918.21","Kininogen; HMW","Kininogen-1","KNG1","P01042"
"seq.4920.10","Lysozyme","Lysozyme C","LYZ","P61626"
"seq.4922.13","MIP-3b","C-C motif chemokine 19","CCL19","Q99731"
"seq.4923.79","MIS","Muellerian-inhibiting factor","AMH","P03971"
"seq.4925.54","MMP-13","Collagenase 3","MMP13","P45452"
"seq.4929.55","SHBG","Sex hormone-binding globulin","SHBG","P04278"
"seq.4930.21","Stanniocalcin-1","Stanniocalcin-1","STC1","P52823"
"seq.4931.59","TF","Tissue Factor","F3","P13726"
"seq.4956.2","EPI","Epiregulin","EREG","O14944"
"seq.4959.2","AGR2","Anterior gradient protein 2 homolog","AGR2","O95994"
"seq.4961.17","annexin II","Annexin A2","ANXA2","P07355"
"seq.4962.52","ARMEL","Cerebral dopamine neurotrophic factor","CDNF","Q49AH0"
"seq.4963.19","ARP19","cAMP-regulated phosphoprotein 19","ARPP19","P56211"
"seq.4964.67","ARTS1","Endoplasmic reticulum aminopeptidase 1","ERAP1","Q9NZ08"
"seq.4965.27","ATP synthase beta chain","ATP synthase subunit beta; mitochondrial","ATP5F1B","P06576"
"seq.4967.1","C1QBP","Complement component 1 Q subcomponent-binding protein; mitochondrial","C1QBP","Q07021"
"seq.4969.2","Carbonic anhydrase I","Carbonic anhydrase 1","CA1","P00915"
"seq.4970.55","carbonic anhydrase II","Carbonic anhydrase 2","CA2","P00918"
"seq.4971.1","CATZ","Cathepsin Z","CTSZ","Q9UBR2"
"seq.4973.18","cIAP-2","Baculoviral IAP repeat-containing protein 3","BIRC3","Q13489"
"seq.4976.57","CRK","Adapter molecule crk","CRK","P46108"
"seq.4978.54","DBNL","Drebrin-like protein","DBNL","Q9UJU6"
"seq.4979.34","DERM","Dermatopontin","DPT","Q07507"
"seq.4981.6","DSC3","Desmocollin-3","DSC3","Q14574"
"seq.4982.54","Elafin","Elafin","PI3","P19957"
"seq.4983.6","ERP29","Endoplasmic reticulum resident protein 29","ERP29","P30040"
"seq.4984.83","Esterase D","S-formylglutathione hydrolase","ESD","P10768"
"seq.4985.11","FABPE","Fatty acid-binding protein; epidermal","FABP5","Q01469"
"seq.4986.59","FAK1","Focal adhesion kinase 1","PTK2","Q05397"
"seq.4987.17","FCAR","Immunoglobulin alpha Fc receptor","FCAR","P24071"
"seq.4988.49","FGFR4","Fibroblast growth factor receptor 4","FGFR4","P22455"
"seq.4989.7","Fibrinogen g-chain dimer","Fibrinogen gamma chain","FGG","P02679"
"seq.4990.87","GP1BA","Platelet glycoprotein Ib alpha chain","GP1BA","P07359"
"seq.4991.12","GPC5","Glypican-5","GPC5","P78333"
"seq.4992.49","GRN","Granulins","GRN","P28799"
"seq.4993.16","GSTA3","Glutathione S-transferase A3","GSTA3","Q16772"
"seq.4995.16","HPG-","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","HPGD","P15428"
"seq.4996.66","HRG","Histidine-rich glycoprotein","HRG","P04196"
"seq.4997.19","IF4A3","Eukaryotic initiation factor 4A-III","EIF4A3","P38919"
"seq.5000.52","LG3BP","Galectin-3-binding protein","LGALS3BP","Q08380"
"seq.5001.6","Mammaglobin 2","Mammaglobin-B","SCGB2A1","O75556"
"seq.5004.69","MK11","Mitogen-activated protein kinase 11","MAPK11","Q15759"
"seq.5005.4","MK12","Mitogen-activated protein kinase 12","MAPK12","P53778"
"seq.5006.71","MK13","Mitogen-activated protein kinase 13","MAPK13","O15264"
"seq.5007.1","MAPK14","Mitogen-activated protein kinase 14","MAPK14","Q16539"
"seq.5008.51","Mn SOD","Superoxide dismutase [Mn]; mitochondrial","SOD2","P04179"
"seq.5009.11","Moesin","Moesin","MSN","P26038"
"seq.5011.11","PBEF","Nicotinamide phosphoribosyltransferase","NAMPT","P43490"
"seq.5012.67","Myokinase; human","Adenylate kinase isoenzyme 1","AK1","P00568"
"seq.5013.2","NCC27","Chloride intracellular channel protein 1","CLIC1","O00299"
"seq.5014.49","NCK1","Cytoplasmic protein NCK1","NCK1","P16333"
"seq.5015.15","PAFAH","Platelet-activating factor acetylhydrolase","PLA2G7","Q13093"
"seq.5017.19","Peroxiredoxin-5","Peroxiredoxin-5; mitochondrial","PRDX5","P30044"
"seq.5018.68","Peroxiredoxin-6","Peroxiredoxin-6","PRDX6","P30041"
"seq.5019.16","PGP9.5","Ubiquitin carboxyl-terminal hydrolase isozyme L1","UCHL1","P09936"
"seq.5020.50","phosphoglycerate kinase 1","Phosphoglycerate kinase 1","PGK1","P00558"
"seq.5021.13","PPase","Inorganic pyrophosphatase","PPA1","Q15181"
"seq.5023.23","PUR8","Adenylosuccinate lyase","ADSL","P30566"
"seq.5024.67","Rb","Retinoblastoma-associated protein","RB1","P06400"
"seq.5026.66","RS3","40S ribosomal protein S3","RPS3","P23396"
"seq.5028.59","sCD163","Scavenger receptor cysteine-rich type 1 protein M130","CD163","Q86VB7"
"seq.5029.3","SEPR","Prolyl endopeptidase FAP","FAP","Q12884"
"seq.5030.52","SIRT2","NAD-dependent protein deacetylase sirtuin-2","SIRT2","Q8IXJ6"
"seq.5031.10","SPTA2","Spectrin alpha chain; non-erythrocytic 1","SPTAN1","Q13813"
"seq.5032.64","SSRP1","FACT complex subunit SSRP1","SSRP1","Q08945"
"seq.5033.27","Tropomyosin 1 alpha chain","Tropomyosin alpha-1 chain","TPM1","P09493"
"seq.5034.79","Trypsin 2","Trypsin-2","PRSS2","P07478"
"seq.5035.7","TS","Thymidylate synthase","TYMS","P04818"
"seq.5036.50","TSG-6","Tumor necrosis factor-inducible gene 6 protein","TNFAIP6","P98066"
"seq.5060.62","B7-H1","Programmed cell death 1 ligand 1","CD274","Q9NZQ7"
"seq.5061.27","B7-H2","ICOS ligand","ICOSLG","O75144"
"seq.5062.60","CD226","CD226 antigen","CD226","Q15762"
"seq.5065.8","CD83","CD83 antigen","CD83","Q01151"
"seq.5066.134","CLM6","CMRF35-like molecule 6","CD300C","Q08708"
"seq.5069.9","DAF","Complement decay-accelerating factor","CD55","P08174"
"seq.5070.76","DcR3","Tumor necrosis factor receptor superfamily member 6B","TNFRSF6B","O95407"
"seq.5076.53","EPHAA","Ephrin type-A receptor 10","EPHA10","Q5JZY3"
"seq.5078.82","EphB6","Ephrin type-B receptor 6","EPHB6","O15197"
"seq.5080.131","GPNMB:ECD","Transmembrane glycoprotein NMB:Extracellular domain","GPNMB","Q14956"
"seq.5082.51","IL-1 sR9","X-linked interleukin-1 receptor accessory protein-like 2","IL1RAPL2","Q9NP60"
"seq.5084.154","IL-17B R","Interleukin-17 receptor B","IL17RB","Q9NRM6"
"seq.5085.18","IL-20 Ra","Interleukin-20 receptor subunit alpha","IL20RA","Q9UHF4"
"seq.5087.5","IL-22BP","Interleukin-22 receptor subunit alpha-2","IL22RA2","Q969J5"
"seq.5088.175","IL-23 R","Interleukin-23 receptor","IL23R","Q5VWK5"
"seq.5089.11","IL-7 Ra","Interleukin-7 receptor subunit alpha","IL7R","P16871"
"seq.5090.49","ILT-2","Leukocyte immunoglobulin-like receptor subfamily B member 1","LILRB1","Q8NHL6"
"seq.5091.28","ILT-4","Leukocyte immunoglobulin-like receptor subfamily B member 2","LILRB2","Q8N423"
"seq.5092.51","JAG1:ECD","Protein jagged-1:Extracellular domain","JAG1","P78504"
"seq.5093.47","JAG2","Protein jagged-2","JAG2","Q9Y219"
"seq.5094.62","JAML1","Junctional adhesion molecule-like","JAML","Q86YT9"
"seq.5095.21","KI2L4","Killer cell immunoglobulin-like receptor 2DL4","KIR2DL4","Q99706"
"seq.5096.51","KI3L2","Killer cell immunoglobulin-like receptor 3DL2","KIR3DL2","P43630"
"seq.5097.14","KI3S1","Killer cell immunoglobulin-like receptor 3DS1","KIR3DS1","Q14943"
"seq.5098.79","KLRF1","Killer cell lectin-like receptor subfamily F member 1","KLRF1","Q9NZS2"
"seq.5099.14","LAG-3","Lymphocyte activation gene 3 protein","LAG3","P18627"
"seq.5100.53","LIMP II","Lysosome membrane protein 2","SCARB2","Q14108"
"seq.5102.55","MICB","MHC class I polypeptide-related sequence B","MICB","Q29980"
"seq.5103.30","MO2R1:ECD","Cell surface glycoprotein CD200 receptor 1:Isoform 4; Extracellular Domain","CD200R1","Q8TD46"
"seq.5104.57","NKp46","Natural cytotoxicity triggering receptor 1","NCR1","O76036"
"seq.5105.2","Nogo Receptor","Reticulon-4 receptor","RTN4R","Q9BZR6"
"seq.5106.52","NOTC2","Neurogenic locus notch homolog protein 2","NOTCH2","Q04721"
"seq.5107.7","Notch 1","Neurogenic locus notch homolog protein 1","NOTCH1","P46531"
"seq.5108.72","Notch-3","Neurogenic locus notch homolog protein 3","NOTCH3","Q9UM47"
"seq.5109.24","Nr-CAM","Neuronal cell adhesion molecule","NRCAM","Q92823"
"seq.5110.84","NRX1B","Neurexin-1-beta","NRXN1","P58400"
"seq.5111.15","NRX3B","Neurexin-3-beta","NRXN3","Q9HDB5"
"seq.5112.73","OX2G","OX-2 membrane glycoprotein","CD200","P41217"
"seq.5114.65","Prolactin Receptor","Prolactin receptor","PRLR","P16471"
"seq.5115.31","RELT","Tumor necrosis factor receptor superfamily member 19L","RELT","Q969Z4"
"seq.5116.62","ROBO2","Roundabout homolog 2","ROBO2","Q9HCK4"
"seq.5117.14","ROBO3","Roundabout homolog 3","ROBO3","Q96MS0"
"seq.5121.3","SEM6B","Semaphorin-6B","SEMA6B","Q9H3T3"
"seq.5122.92","Semaphorin-6A","Semaphorin-6A","SEMA6A","Q9H2E6"
"seq.5124.62","sICAM-5","Intercellular adhesion molecule 5","ICAM5","Q9UMF0"
"seq.5124.69","sICAM-5","Intercellular adhesion molecule 5","ICAM5","Q9UMF0"
"seq.5125.6","SIG14","Sialic acid-binding Ig-like lectin 14","SIGLEC14","Q08ET2"
"seq.5128.53","SLAF6","SLAM family member 6","SLAMF6","Q96DU3"
"seq.5129.12","SREC-I","Scavenger receptor class F member 1","SCARF1","Q14162"
"seq.5131.15","TAJ","Tumor necrosis factor receptor superfamily member 19","TNFRSF19","Q9NS68"
"seq.5132.71","TCCR","Interleukin-27 receptor subunit alpha","IL27RA","Q6UWB1"
"seq.5133.17","TGF-b R II","TGF-beta receptor type-2","TGFBR2","P37173"
"seq.5134.52","TIMD3","Hepatitis A virus cellular receptor 2","HAVCR2","Q8TDQ0"
"seq.5139.32","UNC5H3","Netrin receptor UNC5C","UNC5C","O95185"
"seq.5140.56","UNC5H4","Netrin receptor UNC5D","UNC5D","Q6UXZ4"
"seq.5178.5","PDE7A","High affinity cAMP-specific 3';5'-cyclic phosphodiesterase 7A","PDE7A","Q13946"
"seq.5183.53","AMPK a1b1g1","AMP Kinase (alpha1beta1gamma1)","PRKAA1|PRKAB1|PRKAG1","Q13131|Q9Y478|P54619"
"seq.5193.51","K-ras","GTPase KRas","KRAS","P01116"
"seq.5196.7","NMT1","Glycylpeptide N-tetradecanoyltransferase 1","NMT1","P30419"
"seq.5201.50","PDE9A","High affinity cGMP-specific 3';5'-cyclic phosphodiesterase 9A","PDE9A","O76083"
"seq.5204.13","PSME3","Proteasome activator complex subunit 3","PSME3","P61289"
"seq.5223.59","GCKR","Glucokinase regulatory protein","GCKR","Q14397"
"seq.5224.20","CSK21","Casein kinase II subunit alpha","CSNK2A1","P68400"
"seq.5225.50","CK2-A1:B","Casein kinase II 2-alpha:2-beta heterotetramer","CSNK2A1|CSNK2B","P68400|P67870"
"seq.5226.36","CK2-A2:B","Casein kinase II 2-alpha':2-beta heterotetramer","CSNK2A2|CSNK2B","P19784|P67870"
"seq.5228.25","KIF23","Kinesin-like protein KIF23","KIF23","Q02241"
"seq.5229.90","IMDH1","Inosine-5'-monophosphate dehydrogenase 1","IMPDH1","P20839"
"seq.5230.99","HMGR","3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGCR","P04035"
"seq.5231.79","PCSK9","Proprotein convertase subtilisin/kexin type 9","PCSK9","Q8NBP7"
"seq.5236.2","NR1D1","Nuclear receptor subfamily 1 group D member 1","NR1D1","P20393"
"seq.5238.26","PPIE","Peptidyl-prolyl cis-trans isomerase E","PPIE","Q9UNP9"
"seq.5242.37","MP2K4","Dual specificity mitogen-activated protein kinase kinase 4","MAP2K4","P45985"
"seq.5245.40","AMPK a2b2g1","AMP Kinase (alpha2beta2gamma1)","PRKAA2|PRKAB2|PRKAG1","P54646|O43741|P54619"
"seq.5246.64","cGMP-stimulated PDE","cGMP-dependent 3';5'-cyclic phosphodiesterase","PDE2A","O00408"
"seq.5248.68","Cyclophilin F","Peptidyl-prolyl cis-trans isomerase F; mitochondrial","PPIF","P30405"
"seq.5249.31","DRAK2","Serine/threonine-protein kinase 17B","STK17B","O94768"
