"AptName","Target","TargetFullName","EntrezGeneSymbol","UniProt"
"seq.25123.198","APEX2","DNA-(apurinic or apyrimidinic site) lyase 2","APEX2","Q9UBZ4"
"seq.25124.21","ZBT7A","Zinc finger and BTB domain-containing protein 7A","ZBTB7A","O95365"
"seq.25125.7","STAC","SH3 and cysteine-rich domain-containing protein","STAC","Q99469"
"seq.25126.19","HECW2","E3 ubiquitin-protein ligase HECW2","HECW2","Q9P2P5"
"seq.2514.65","Ephrin-B3:ECD","Ephrin-B3:Extracellular domain","EFNB3","Q15768"
"seq.2515.14","GFRa-2","GDNF family receptor alpha-2","GFRA2","O00451"
"seq.2516.57","6Ckine","C-C motif chemokine 21","CCL21","O00585"
"seq.25209.15","ATNG","Sodium/potassium-transporting ATPase gamma chain","FXYD2","P54710"
"seq.25211.14","GBG12","Guanine nucleotide-binding protein G(I)/G(S)/G(O) gamma-12 subunit","GNG12","Q9UBI6"
"seq.25215.1","TIM10","Mitochondrial import inner membrane translocase subunit Tim10","TIMM10","P62072"
"seq.25216.8","Calgranulin A","Calgranulin A","S100A8","P05109"
"seq.25217.35","SPANXA","Sperm protein associated with the nucleus on the X chromosome A","SPANXA1","Q9NS26"
"seq.25218.10","SPCS1","Signal peptidase complex subunit 1","SPCS1","Q9Y6A9"
"seq.25219.17","VATF","V-type proton ATPase subunit F","ATP6V1F","Q16864"
"seq.25220.8","CRTP1","Cysteine-rich tail protein 1","CYSRT1","A8MQ03"
"seq.25225.14","FHL17","Ferritin heavy polypeptide-like 17","FTHL17","Q9BXU8"
"seq.25227.20","TCAL2","Transcription elongation factor A protein-like 2","TCEAL2","Q9H3H9"
"seq.2523.31","RANTES","C-C motif chemokine 5","CCL5","P13501"
"seq.25232.4","EHD3","EH domain-containing protein 3","EHD3","Q9NZN3"
"seq.25233.2","MPI","Mannose-6-phosphate isomerase","MPI","P34949"
"seq.25235.2","DPH7","Diphthine methyltransferase","DPH7","Q9BTV6"
"seq.25236.11","MTL26","Methyltransferase-like 26","METTL26","Q96S19"
"seq.25238.6","B2L14","Apoptosis facilitator Bcl-2-like protein 14","BCL2L14","Q9BZR8"
"seq.2524.56","HMG-1","High mobility group protein B1","HMGB1","P09429"
