AptName,TargetFullName,Target,UniProt,logFC,AveExpr,t,P.Value,adj.P.Val,B
seq.6371.50,Angiopoietin-related protein 7,ANGL7,O43827,-0.231351141,10.26868268,-1.396176393,0.178715506,0.982436854,-4.489624109
seq.17380.2,Ubiquitin-conjugating enzyme E2 K,UBE2K,P61086,-0.552272717,15.01322309,-1.396088962,0.178741435,0.982436854,-4.489657058
seq.11178.21,Sushi; von Willebrand factor type A; EGF and pentraxin domain-containing protein 1:EGF-like domains 4-6,SVEP1:EGF-like domains 4-6,Q4LDE5,0.376661689,10.75171841,1.395830585,0.178818077,0.982436854,-4.48975442
seq.3585.54,Basigin,BASI,P35613,0.113950107,11.66959208,1.395693781,0.178858667,0.982436854,-4.489805966
seq.5000.52,Galectin-3-binding protein,LG3BP,Q08380,0.510511244,12.71015396,1.395589613,0.17888958,0.982436854,-4.489845213
seq.12389.4,Origin recognition complex subunit 6,ORC6,Q9Y5N6,0.237715634,11.04754567,1.395544577,0.178902946,0.982436854,-4.489862181
seq.2668.70,Calpain I,Calpain I,P07384|P04632,-0.541789424,14.33253834,-1.395032596,0.17905495,0.982436854,-4.490055044
seq.12556.7,Ubiquitin-conjugating enzyme E2 C,UBE2C,O00762,0.231006589,9.667035514,1.394816384,0.179119173,0.982436854,-4.490136476
seq.22492.108,LIM domain only protein 3,LMO3,Q8TAP4,0.088545922,10.89679361,1.393628151,0.179472453,0.982436854,-4.49058385
seq.22115.2,cAMP-responsive element-binding protein-like 2,CRBL2,O60519,0.109498009,9.637078737,1.393003003,0.179658544,0.982436854,-4.490819116
seq.7958.15,Kin of IRRE-like protein 2,KIRR2,Q6UWL6,0.172012104,10.57952535,1.392503487,0.179807349,0.982436854,-4.491007051
seq.20137.49,Heterogeneous nuclear ribonucleoprotein A1,ROA1,P09651,-0.792610459,11.5566254,-1.392137318,0.179916493,0.982436854,-4.491144786
seq.9928.125,Leukocyte cell-derived chemotaxin 1,LECT1,O75829,-0.140156951,12.23587587,-1.392078613,0.179933996,0.982436854,-4.491166866
seq.16865.62,TATA-binding protein-associated factor 2N,RBP56,Q92804,-0.350720073,11.5069761,-1.391479543,0.180112689,0.982436854,-4.491392148
seq.18896.23,Heparan-sulfate 6-O-sulfotransferase 3,H6ST3,Q8IZP7,0.176223791,10.46268275,1.391380113,0.180142361,0.982436854,-4.491429533
seq.3864.5,40S ribosomal protein S7,RS7,P62081,-0.262605986,10.03190817,-1.391013586,0.180251775,0.982436854,-4.491567327
seq.7897.75,Disks large homolog 3,DLG3,Q92796,0.145283273,9.947450075,1.390934864,0.180275281,0.982436854,-4.491596919
seq.20921.1,PDZ domain-containing protein GIPC2,GIPC2,Q8TF65,-0.388950362,10.77750064,-1.39082003,0.180309575,0.982436854,-4.491640083
seq.20589.5,Cadherin-4,CADH4,P55283,-0.371189554,8.973238862,-1.390132722,0.180514944,0.982436854,-4.491898383
