pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database
REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1,0.350604490500864,0.499361718104678,0.0905428948469474,0.429685715431019,1.09397234093157,11,UBC|IKBKG|RPS27A|MAPK9|UBE2V1|UBB,Reactome
REACTOME_KEAP1_NFE2L2_PATHWAY,0.00703964467898047,0.0331072398268883,0.407017918923954,0.379053235198912,1.50074117578111,71,CREBBP|AKT2|PSMB4|PSMA7|PSMA1|PSMA2|UBC|SRXN1|PSMB1|BCL2|PSMA5|NFE2L2|MAFG|NPLOC4|CSNK2A1|RPS27A|CCL2|SKP1|PSMC5|PSMA4|UBB|TKT|PSMA6|G6PD|TXNRD1|PSMB6|AREG|MYC|CUL3|PSMB3|TRIM21|ADRM1,Reactome
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,0.00259322866029886,0.0166457245086751,0.431707695803346,-0.623021724994842,-1.92733214474066,20,LUM|FMOD|KERA|OMD|B4GALT2|B3GNT2|B4GALT6|ST3GAL1|B3GNT4|ACAN|B4GALT1,Reactome
REACTOME_KERATAN_SULFATE_DEGRADATION,0.00131437984730246,0.00991000678521698,0.45505986738723,-0.779797698419805,-1.96384978111892,10,LUM|FMOD|KERA|OMD|HEXB|GNS,Reactome
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,0.000414777422275578,0.00492548188952248,0.49849310876659,-0.634643441641985,-2.04946480946293,24,LUM|FMOD|KERA|OMD|HEXB|B4GALT2|B3GNT2|B4GALT6|GNS|ST3GAL1|B3GNT4|ACAN|B4GALT1|HEXA|CHST5,Reactome
REACTOME_KERATINIZATION,0.00994248053590037,0.0423549340651628,0.380730400722792,-0.435499549051814,-1.57837690489984,40,KLK13|KLK8|DSC2|PRSS8|KLK14|KRTAP2-4|SPINK5|PI3|DSG2,Reactome
REACTOME_KIDNEY_DEVELOPMENT,0.175115207373272,0.306370988958763,0.159646701919906,-0.408412905035163,-1.24358602105597,18,BMP4|ROBO2|SLIT2|JAG1,Reactome
REACTOME_KINESINS,0.551724137931035,0.671971706454465,0.0665892104103933,0.374788348240604,0.925129280861772,10,KIF3A|KIF23|KLC3|RACGAP1|KIF22|KIF3B|KIF3C,Reactome
REACTOME_L1CAM_INTERACTIONS,0.0127937320719502,0.0506418561181363,0.380730400722792,-0.42133861252353,-1.60423537359517,48,CNTN2|L1CAM|EPHB2|CNTN6|SCN4B|MAP2K2|CNTN1|SCN2B|CHL1|NRP2|ALCAM|NCAM1|DNM2|SCN3B|EGFR|NFASC|NRCAM|NRP1,Reactome
REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY,0.0591568139221021,0.156745896945639,0.321775918075361,0.523898865735506,1.53474031212686,19,UBC|HSPA8|MVB12B|CHMP3|CHMP2A|TSG101|VIM|RPS27A|CHMP4A|UBB|HBB|CHMP6,Reactome
REACTOME_LATE_SARS_COV_2_INFECTION_EVENTS,0.392733564013841,0.538037654982397,0.0843144320642653,0.310736156428125,1.03783066319182,32,GALNT1|UBC|ACE2|ST6GAL1|ST3GAL2|MAN1B1|UBE2I|RPS27A|FUT8|UBB|GOLGA7|RPN1|MGAT4C,Reactome
REACTOME_LEISHMANIA_INFECTION,0.0064965177591372,0.0313283851328951,0.407017918923954,0.381978492675629,1.54315348241791,79,PSTPIP1|ARPC3|IL6|NCK1|BAIAP2|BTK|GRB2|PRKAR2B|APP|BRK1|HSP90AB1|MAPK14|NT5E|SUGT1|VAV3|FCGR1A|CTSG|GNAI3|NCKIPSD|PRKAR1A|PRKAR1B|C3|PRKACA|CRK|MAPK1|SYK|VAV1|IL1A|FYN|PYCARD,Reactome
REACTOME_LISTERIA_MONOCYTOGENES_ENTRY_INTO_HOST_CELLS,0.106271777003484,0.222374863773811,0.179782316298324,0.521115261062018,1.39493087548471,13,UBC|SH3GL3|GRB2|RPS27A|SH3KBP1|CBL|UBB|CTNNB1|HGS|MET|SH3GL2,Reactome
REACTOME_LONG_TERM_POTENTIATION,0.29776247848537,0.44882475287382,0.0999276973731092,0.432589433085263,1.13220893609752,12,ACTN2|NEFL|DLG2|CAMK2A,Reactome
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,0.0884955752212389,0.198728465955701,0.199915231309662,0.458469617514312,1.38900543817076,21,AP1B1|CLTC|HSPA8|CHMP2A|APP|AP1S2|AP1G2|ARF1,Reactome
REACTOME_MAP2K_AND_MAPK_ACTIVATION,0.108771929824561,0.22463768115942,0.178219874951973,0.425563124566676,1.34664315264146,25,VWF|FGB|MARK3|NRAS|VCL|YWHAB|HRAS|MAPK1|FGG|CSK|ARAF|FN1|RAF1|LAMTOR3,Reactome
REACTOME_MAP3K8_TPL2_DEPENDENT_MAPK1_3_ACTIVATION,0.298275862068966,0.44882475287382,0.0999276973731092,0.461793406933512,1.13989296750721,10,UBC|IKBKG|RPS27A|SKP1|UBB|IKBKB,Reactome
REACTOME_MAPK1_MAPK3_SIGNALING,0.0237299499122154,0.0774689086481259,0.352487857583619,0.298665375378061,1.34282904701252,154,VWF|PSMB4|PSMA7|FGB|HGF|PSMA1|PSMA2|IL6|ACTN2|UBC|MARK3|NRAS|PSMB1|SHC1|PSMA5|FNTA|DUSP6|GRB2|NEFL|PTPN11|HBEGF|FGF4|DLG2|RPS27A|CSF2RA|IL2|JAK2|PEA15|GFRA3|PSMC5|VCL|YWHAB|HRAS|EREG|PSMA4|UBB|PTPN7|PSMA6|FGF8|CAMK2A|MAPK1|FGG|SPRED1|FGF16|GOLGA7|CSK|PPP1CC|MRAS|PSMB6|AREG|IL2RG|IL3|ARAF|ERBB2|CUL3|FYN|FGF3|RASA1|FN1|PSMB3|ADRM1|RAF1|LAMTOR3|MAP3K11|TYK2|IL6R|PDGFA|MET|PPP2R5D|PRKCQ|PIK3R1,Reactome
REACTOME_MAPK6_MAPK4_SIGNALING,0.0050211790106626,0.0264478404496839,0.407017918923954,0.465310087978144,1.63234193931496,40,PSMB4|PSMA7|PSMA1|PSMA2|UBC|FOXO1|MAPKAPK5|PSMB1|PSMA5|TNRC6B|RPS27A|PSMC5|PSMA4|UBB|PRKACA|PSMA6|PSMB6|MYC|PAK3|AGO1|PSMB3|ADRM1|DNAJB1,Reactome
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,0.0214268119311197,0.0719274605461616,0.352487857583619,0.29347000359238,1.32581903125228,172,VWF|PSMB4|PSMA7|FGB|HGF|PSMA1|PSMA2|IL6|ACTN2|UBC|FOXO1|MARK3|NRAS|MAPKAPK5|PSMB1|SHC1|PSMA5|FNTA|DUSP6|GRB2|NEFL|PTPN11|TNRC6B|HBEGF|FGF4|DLG2|RPS27A|CSF2RA|IL2|JAK2|PEA15|GFRA3|PSMC5|VCL|YWHAB|HRAS|EREG|PSMA4|UBB|PTPN7|PRKACA|PSMA6|FGF8|CAMK2A|MAPK1|FGG|SPRED1|FGF16|GOLGA7|CSK|PPP1CC|MRAS|PSMB6|AREG|IL2RG|IL3|MYC|ARAF|PAK3|ERBB2|CUL3|AGO1|FYN|FGF3|RASA1|FN1|PSMB3|ADRM1|DNAJB1|RAF1|LAMTOR3|MAP3K11|TYK2|IL6R|HSPB1|PDGFA|MET|PPP2R5D|PRKCQ|PIK3R1,Reactome
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES,0.0274084991659258,0.0873760879450653,0.352487857583619,0.530728736083675,1.58168742310651,20,ELK1|DUSP6|DUSP3|MAPK14|MAPK9|RPS6KA1|ATF1|MAPK1|RPS6KA3|PPP2R5D|CREB1,Reactome
REACTOME_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,0.00365741479369756,0.0211862442317846,0.431707695803346,0.569991699951341,1.76450190572139,23,CREBBP|H3C1|EIF4G1|CNOT1|PAIP1|H2BC21|H2BC12|EIF4B|BTG4|EIF4A2|FGF8,Reactome
REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN,0.411899313501144,0.55191022260379,0.09754492162472,-0.329445700423377,-1.01914790913243,20,MGAT4B|MGAT2|ST3GAL1|MGAT5|PRKCSH,Reactome
REACTOME_MEIOSIS,0.00374918315528003,0.0214561686597351,0.431707695803346,0.614682291726734,1.77559576417849,18,H3C1|PSMC3IP|HSPA2|H2BC21|H2BC12|UBE2I|SMC3|DMC1|LMNB1|SYNE2,Reactome
REACTOME_MEIOTIC_SYNAPSIS,0.0133071733306001,0.0511012006256233,0.380730400722792,0.646355000513463,1.64560856363413,11,HSPA2|H2BC21|H2BC12|UBE2I|SMC3|LMNB1|SYNE2,Reactome
REACTOME_MEMBRANE_TRAFFICKING,7.17203498196199e-07,7.57048136984877e-05,0.659444398037935,0.382952059931337,1.83243468317175,254,GALNT1|AKT2|SEC13|ARL1|AP1B1|FTL|TRAPPC2|RALA|SAR1B|ARPC3|COPS5|CYTH4|COPS7B|ARFGAP1|UBC|STX10|PLA2G4A|CLTC|OCRL|UBQLN2|TRAPPC3|YWHAQ|EPS15L1|GABARAP|HSPA8|KIF3A|RAB38|ITSN1|CTSC|MVB12B|TRAPPC6B|ARF6|GDI1|GABARAPL2|GGA3|CHMP3|SH3GL3|CLINT1|CHMP2A|VTI1A|GRB2|APP|ARF3|KIF23|TSG101|VPS4A|STX4|AGFG1|STX6|AP1S2|HBEGF|DAB2|ARFGAP2|APOB|RABEP1|RPS27A|COPS8|SH3KBP1|YWHAH|AP1G2|SCFD1|ARF1|NSF|PACSIN2|PAFAH1B2|COPS2|RHOQ|YWHAB|CBL|EREG|CYTH1|CHMP4A|VPS25|UBB|STX17|YWHAZ|DYNLL2|AP2B1|NECAP2|YWHAG|TBC1D24|CYTH2|RAB27B|REPS2|SYT11|KLC3|CHMP6|AREG|SNX5|HIP1R|VTA1|RAB13|EPN1|GALNT2|RAB6B|SERPINA1|COPB2|SEC22A|HGS,Reactome
REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,0.0775862068965517,0.182931365727065,0.211400189384923,0.591327787154782,1.45963622682553,10,UGT1A1|MAT1A|FDX2|TPMT|AHCY|ACY1|GSS,Reactome
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.0302630503935654,0.0935601700006856,0.352487857583619,0.293944885492671,1.3216052579268,154,HPD|PHGDH|PSMB4|GOT1|SARS1|PSMA7|GPT|MTAP|PSMA1|PSMA2|MAT1A|PSMB1|CKB|PSMA5|RPS7|SCLY|ASRGL1|HSD17B10|KARS1|RPS27A|PSMC5|GLUL|ACADSB|TPO|PSMA4|SAT1|SRM|HGD|RPLP2|EEF1E1|PSMA6|DLST|ALDH7A1|DAO|HIBADH|AADAT|TXNRD1|PSMB6|QDPR|PSMB3|SUOX|AHCY|ADRM1|MARS1|OAT|GCDH|FAH|HYKK|SMS|AGXT|SDSL|SEPSECS|HAO1|PSMB7|NNMT|ACAD8|CARNMT1|BHMT2|IL4I1,Reactome
REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS,0.628721541155867,0.732865600120336,0.0610363728309177,0.312398861129508,0.863039483000561,15,ACE2|GZMH|CTSG|CPB2|CES1|ENPEP|CTSD|CMA1,Reactome
REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,0.00539492680855125,0.0274847301977014,0.407017918923954,-0.322104223271444,-1.47192370493731,154,LUM|FMOD|KERA|ADPGK|PGD|OMD|ALDOC|HEXB|NDST1|PYGB|NAGLU|HSPG2|LYVE1|FUT5|B4GALT2|B3GNT2|B4GALT6|GNS|ST3GAL1|GPC3|MANBA|CRYL1|HS6ST3|ALDOA|B3GNT4|NUP35|SORD|BGN|PCK2|PKM|ACAN|HK2|BCAN|HS3ST1|GPC1|BPGM|PYGL|HYAL1|TKFC|B4GALT1|CHST11|HEXA|B3GAT3|HS6ST1|PRPS2|B3GAT1|CHST5|MAN2B2|HS3ST4|PCK1|GCKR|UST,Reactome
REACTOME_METABOLISM_OF_COFACTORS,0.4375,0.575657894736842,0.0787113806986485,0.363009972878621,1.01620217515823,16,DHFR|HSP90AA1|PTS|STARD7|COQ7,Reactome
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,0.00476045443772861,0.0256956347491033,0.407017918923954,-0.500606323972595,-1.7179938037547,32,APOA4|HSPG2|LRP10|APOA1|APOA2|APOC2|APOE|RBP4|GPC3|AKR1C4|GPC1|LRP1|RBP1,Reactome
