"AptName","EntrezGeneSymbol","Target","TargetFullName","UniProt","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"seq.6444.15","PSG3","PSG3","Pregnancy-specific beta-1-glycoprotein 3","Q16557",0.0245595387338042,10.5833766698721,0.46646009598573,0.643396326015715,0.821639396143317,-6.39093918811865
"seq.23702.98","SHKBP1","SHKB1","SH3KBP1-binding protein 1","Q8TBC3",-0.118253517268053,10.6579156492061,-0.466421762538659,0.64343399317521,0.821639396143317,-6.39094724266665
"seq.18831.6","LRIG1","LRIG1","Leucine-rich repeats and immunoglobulin-like domains protein 1","Q96JA1",-0.0318359776173125,9.91998263088645,-0.465963140658628,0.643758316555348,0.821902292286579,-6.39116136430742
"seq.22367.17","CSTPP1","CK049","UPF0705 protein C11orf49","Q9H6J7",0.0251872125699002,11.4947155816912,0.465002225755107,0.644431057812931,0.822609843665181,-6.3916158545594
"seq.25070.18","MICAL1","MICA1","Protein-methionine sulfoxide oxidase MICAL1","Q8TDZ2",0.0409697747450739,11.0801380427729,0.464306591774661,0.644935455220534,0.823033982517326,-6.39192830514415
"seq.24945.16","SNX27","SNX27","Sorting nexin-27","Q96L92",-0.049764518563018,10.67441211552,-0.464163912421025,0.64503679091062,0.823033982517326,-6.3919943241656
"seq.23007.8","JUP","PLAK","Junction plakoglobin","P14923",0.0289391702434205,13.8388486542119,0.463825380616411,0.645266852250656,0.823033982517326,-6.39216055575805
"seq.23669.20","GFPT2","GFPT2","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2","O94808",0.0219817404213511,10.7745100079322,0.463733520563995,0.64533211076738,0.823033982517326,-6.39220301561594
"seq.18198.51","HBQ1","HBAT","Hemoglobin subunit theta-1","P09105",0.026865192551492,8.65874262059774,0.463707595080468,0.645356376837696,0.823033982517326,-6.39220956235198
"seq.2975.19","CCN2","CTGF","Connective tissue growth factor","P29279",0.0492481446326938,10.7608002013765,0.463255789404225,0.645681930798378,0.823089378036566,-6.39241405048021
"seq.11549.6","ISL1","ISL1","Insulin gene enhancer protein ISL-1","P61371",-0.0144895331040829,10.7947146463871,-0.463221901902637,0.645695622820077,0.823089378036566,-6.39243934549874
"seq.19110.6","MEMO1","MEMO1","Protein MEMO1","Q9Y316",0.0213945641037459,9.80951473298468,0.463137405525741,0.645755667103482,0.823089378036566,-6.39247835173036
"seq.14019.73","EVPL","EVPL","Envoplakin","Q92817",0.0155814235466742,11.1863925278126,0.462670787686462,0.646087295263626,0.823360834129348,-6.39269363069237
"seq.9486.13","DEFB125","DB125","Beta-defensin 125","Q8N687",0.0634115386359042,10.6783716844659,0.462468976815475,0.64624111429253,0.823405635709854,-6.39277705080638
