"AptName","EntrezGeneSymbol","Target","TargetFullName","UniProt","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"seq.3388.58","PAK5","PAK7","Serine/threonine-protein kinase PAK 5","Q9P286",0.17193324191525,10.6297392932457,2.65342229003423,0.0120867173068287,0.0359339037669599,-3.25550770858767
"seq.5006.71","MAPK13","MK13","Mitogen-activated protein kinase 13","O15264",0.164296645465246,9.048341217252,2.65291574146276,0.0121016581809776,0.0359629148256119,-3.25661857122031
"seq.2991.9","IL1R1","IL-1 sRI","Interleukin-1 receptor type 1","P14778",-0.342018222545754,12.8200864284949,-2.65262680539254,0.0121101881358945,0.03596704820808,-3.25725214785673
"seq.6456.17","PSG6","PSG6","Pregnancy-specific beta-1-glycoprotein 6","Q00889",0.184794908090078,10.4419733892277,2.65251752632515,0.0121134157172911,0.03596704820808,-3.25749176252885
"seq.24476.18","ASCC2","ASC-1 complex subunit p100","Activating signal cointegrator 1 complex subunit 2","Q9H1I8",0.428523033885345,10.44523097032,2.65268910691748,0.0121336148432221,0.0360116139423089,-3.25825274553216
"seq.12731.12","PLEKHA7","PKHA7","Pleckstrin homology domain-containing family A member 7","Q6IQ23",-0.284418339275139,8.12022307318716,-2.65211635234741,0.0121482910367133,0.0360121309188909,-3.25940583365735
"seq.12437.18","ULK3","ULK3","Serine/threonine-protein kinase ULK3","Q6PHR2",-0.19088663947112,10.2041085181133,-2.65162937482215,0.0121396770261168,0.0360121309188909,-3.25943896429642
"seq.16769.20","RAC3","RAC3","Ras-related C3 botulinum toxin substrate 3","P60763",0.185668647904048,10.0122599339408,2.65130239905015,0.0121493584783288,0.0360121309188909,-3.26015572710063
"seq.3210.1","METAP1","METAP1","Methionine aminopeptidase 1","P53582",-0.354898145041446,10.7338920270704,-2.65133415492996,0.0121690363400122,0.036049478531863,-3.2610106902126
"seq.2998.53","JAM3","JAM-C","Junctional adhesion molecule C","Q9BX67",-0.373427149198328,11.4015943406088,-2.6509166320312,0.012174314885878,0.036049478531863,-3.2616072433485
"seq.23661.61","XPNPEP3","XPP3","Probable Xaa-Pro aminopeptidase 3","Q9NQH7",-0.269872088612976,8.4724911283748,-2.65096738624726,0.0121775439802114,0.036049478531863,-3.26170802339774
"seq.7655.11","NPPB","N-terminal pro-BNP","N-terminal pro-BNP","P16860",0.65148698638184,10.4511335421564,2.65046694930505,0.0121994653792821,0.0360989723952402,-3.26311995545448
"seq.7064.2","VAMP8","VAMP8","Vesicle-associated membrane protein 8","Q9BV40",0.381910018269503,9.8341045014179,2.6502501662249,0.012205907128863,0.0361026383491816,-3.26359463703848
"seq.11310.8","DSG3","Desmoglein-3","Desmoglein-3","P32926",0.270659576524041,10.2733182993039,2.64824168651728,0.0122433070881529,0.0361978303726856,-3.26699473487175
"seq.24472.28","SHARPIN","SHRPN","Sharpin","Q9H0F6",-0.662755360877478,9.14219430168712,-2.6478741908385,0.0122767164102484,0.036275697950816,-3.26879558472287
"seq.6555.58","STOML2","Stomatin-like protein 2","Stomatin-like protein 2; mitochondrial","Q9UJZ1",-0.416487967731014,11.1517032419768,-2.64776097100619,0.0122801000845175,0.036275697950816,-3.26904334515836
"seq.21153.5","BAP18","BAP18","Chromatin complexes subunit BAP18","Q8IXM2",-0.334723773101954,11.9078665211394,-2.64609211047693,0.0123045979874034,0.0363325980572733,-3.2715695080806
"seq.10870.32","SPAST","Spastin:MIT","Spastin:Microtubule interacting and trafficking domain","Q9UBP0",-0.684033486674215,12.7901954115496,-2.64636321239414,0.0123219445180149,0.0363683424119546,-3.27210151764296
"seq.7115.5","SEMG1","Semenogelin","Semenogelin-1","P04279",-0.430548258593245,12.3025862425305,-2.64521012635474,0.0123415161224913,0.036410620907299,-3.27396112938517
"seq.8923.94","GALNT16","GLTL1","Polypeptide N-acetylgalactosaminyltransferase 16","Q8N428",0.389049237579174,11.4608589410166,2.64512833536916,0.0123491432558549,0.0364176392062801,-3.27436772537418
"seq.23529.11","STARD7","STAR7","StAR-related lipid transfer protein 7; mitochondrial","Q9NQZ5",-0.637995701195171,8.97355471002951,-2.64454033380813,0.0123767140154215,0.0364834403368775,-3.27608825506136
"seq.16606.85","AKR1B1","Aldose reductase","Aldose reductase","P15121",-0.57436235969638,12.6395376637223,-2.64413753867618,0.0123888465991415,0.0365036970494449,-3.2769689521798
"seq.19236.24","SUB1","TCP4","Activated RNA polymerase II transcriptional coactivator p15","P53999",-0.927351917809947,10.815107468355,-2.64363229390783,0.0124040806307325,0.0365330710936558,-3.2780735297193
"seq.10990.21","LRRK2","LRRK2","Leucine-rich repeat serine/threonine-protein kinase 2","Q5S007",-0.548053265939361,14.2955328587467,-2.64339759303314,0.012409410498947,0.0365332623895602,-3.27850987981323
"seq.19213.1","SPINK4","ISK4","Serine protease inhibitor Kazal-type 4","O60575",0.316573973631776,11.4205504544423,2.64085615616196,0.0124624499894185,0.0366738509230597,-3.28302492773224
"seq.13479.8","FAM171A2","F1712","Protein FAM171A2","A8MVW0",0.558856874495456,11.814627687772,2.64111621189794,0.0124802034851768,0.0367081605339275,-3.28357222188073
"seq.4533.76","ADAMTS15","ATS15","A disintegrin and metalloproteinase with thrombospondin motifs 15","Q8TE58",-0.139745670510782,10.2270007629002,-2.64012341625669,0.0124846892722394,0.0367081605339275,-3.28462687558518
"seq.17802.4","NANS","SIAS","Sialic acid synthase","Q9NR45",0.968583205347928,13.7126054529192,2.63950453912667,0.0125291907836065,0.0367987299478771,-3.28709262946781
"seq.4230.1","EIF4G2","IF4G2","Eukaryotic translation initiation factor 4 gamma 2","P78344",-0.814136294561385,10.8247541734878,-2.63943192631323,0.012531402056036,0.0367987299478771,-3.28725120642533
"seq.11510.51","APOL1","Apo L1","Apolipoprotein L1","O14791",0.361227496181998,12.1818893239488,2.63872135834759,0.0125273453051175,0.0367987299478771,-3.28769131505124
"seq.3317.33","HTRA2","HTRA2","Serine protease HTRA2; mitochondrial","O43464",-0.470332068654017,11.5536935410338,-2.63868727653545,0.0125540996682311,0.0368497874779423,-3.28887726260006
"seq.2783.18","CCL3L1","LD78-beta","C-C motif chemokine 3-like 1","P16619",0.237175103303178,10.8005199717107,2.63552543284084,0.0126250821516173,0.037031555778188,-3.2946726281172
"seq.22482.87","KRT14","K1C14","Keratin; type I cytoskeletal 14","P02533",0.4125542325057,10.9021647768464,2.63600349209444,0.0126362198626685,0.037031555778188,-3.29473525987478
"seq.2622.18","HMOX2","HO-2","Heme oxygenase 2","P30519",-0.189859369557837,9.08841130481555,-2.63531742540613,0.0126314677555361,0.037031555778188,-3.29512681856296
"seq.3361.26","CD207","CLC4K","C-type lectin domain family 4 member K","Q9UJ71",-0.125457446666898,8.75273244570935,-2.63512518555791,0.0126373719675385,0.037031555778188,-3.29554655938864
"seq.5731.1","SPINK6","ISK6","Serine protease inhibitor Kazal-type 6","Q6UWN8",0.345754318784483,10.5543159650532,2.63448366164671,0.0126800110008006,0.0371311494870008,-3.2979258033664
"seq.25274.2","ANKRD2","ANKR2","Ankyrin repeat domain-containing protein 2","Q9GZV1",0.439335660428261,10.207944624675,2.63451234529342,0.0126820614330872,0.0371311494870008,-3.29798837995774
"seq.11683.19","GGA3","GGA3","ADP-ribosylation factor-binding protein GGA3","Q9NZ52",-0.692749981600695,11.268385355002,-2.63353129171797,0.0127123053138606,0.0372040010851451,-3.30012802086425
"seq.18273.14","GAGE2D","GGE2D","G antigen 2D","Q9UEU5",0.124456605508447,10.1589009000346,2.63224380791493,0.0127261733379952,0.0372288856628789,-3.30183544931097
"seq.7887.57","COX5B","COX5B","Cytochrome c oxidase subunit 5B; mitochondrial","P10606",-0.282069785353942,9.12690189179701,-2.6309978717472,0.0127866743148512,0.0373743610239057,-3.30548032502367
"seq.12957.62","UQCRB","UCR6","Cytochrome b-c1 complex subunit 7","P14927",-0.187292634277249,8.77832238932079,-2.63030395331101,0.0127862824711487,0.0373743610239057,-3.3060668624784
"seq.21883.17","BMP5","BMP-5","Bone morphogenetic protein 5","P22003",-0.422192954782513,14.8342247947841,-2.62968318397285,0.0128064739183382,0.0374164726397259,-3.30745848893411
"seq.12729.12","PSMG3","PSMG3","Proteasome assembly chaperone 3","Q9BT73",-0.37202503849494,10.5878429124533,-2.62963051127393,0.0128332195580665,0.0374687634996135,-3.30863038238844
